iter	Passed	Remaining
0	1	972
1	3	1144
2	4	1131
3	5	1074
4	7	1053
5	7	967
6	8	951
7	10	939
8	11	937
9	12	930
10	13	926
11	15	924
12	16	939
13	18	948
14	19	953
15	20	946
16	21	944
17	23	938
18	24	929
19	25	923
20	26	919
21	27	913
22	28	909
23	29	905
24	31	911
25	32	913
26	34	911
27	35	908
28	36	905
29	37	902
30	38	893
31	39	889
32	40	887
33	41	883
34	43	881
35	44	879
36	45	880
37	47	880
38	48	877
39	49	875
40	50	873
41	51	870
42	52	868
43	53	865
44	55	863
45	56	861
46	57	858
47	58	858
48	60	860
49	61	862
50	62	862
51	64	861
52	65	855
53	66	850
54	67	850
55	68	847
56	69	844
57	70	842
58	71	840
59	73	846
60	75	847
61	76	848
62	77	846
63	78	844
64	79	841
65	81	840
66	82	839
67	83	837
68	84	836
69	85	835
70	87	835
71	88	832
72	89	830
73	90	829
74	91	826
75	93	825
76	94	823
77	95	822
78	96	820
79	97	819
80	98	816
81	100	815
82	101	817
83	103	819
84	104	819
85	105	818
86	107	817
87	108	815
88	109	815
89	111	816
90	112	812
91	113	809
92	114	808
93	115	809
94	117	808
95	118	807
96	119	806
97	121	807
98	122	806
99	123	804
100	124	801
101	125	800
102	127	798
103	128	795
104	129	794
105	130	794
106	132	793
107	133	792
108	134	790
109	135	789
110	136	787
111	137	785
112	138	780
113	139	778
114	140	776
115	141	774
116	142	772
117	144	774
118	145	773
119	146	770
120	147	768
121	148	766
122	150	764
123	151	763
124	152	761
125	153	760
126	154	759
127	155	756
128	156	755
129	158	755
130	159	755
131	161	755
132	162	754
133	163	752
134	164	751
135	166	749
136	166	745
137	167	744
138	168	742
139	169	738
140	170	736
141	171	734
142	173	735
143	174	734
144	175	733
145	177	732
146	178	731
147	180	732
148	180	729
149	181	727
150	183	726
151	184	724
152	185	722
153	186	721
154	188	725
155	190	724
156	191	723
157	192	721
158	193	720
159	195	719
160	196	718
161	197	717
162	198	715
163	199	714
164	201	713
165	202	712
