iter	Logloss
0	0.6654682799
1	0.6431415571
2	0.6236403341
3	0.6083937063
4	0.5930931861
5	0.5793839855
6	0.5682512295
7	0.5542527192
8	0.544509997
9	0.5341955143
10	0.526908032
11	0.5205520606
12	0.5122188004
13	0.5073431503
14	0.502022828
15	0.4969197762
16	0.4929043486
17	0.4885314355
18	0.4824335161
19	0.4775883534
20	0.4772589968
21	0.4726258464
22	0.4691776516
23	0.4665541086
24	0.4638303839
25	0.460488472
26	0.4578855483
27	0.4547897337
28	0.4525756805
29	0.4494520955
30	0.4472802041
31	0.4448457081
32	0.4430961003
33	0.4416655526
34	0.43950312
35	0.4377253534
36	0.4346103614
37	0.4329827812
38	0.4315108137
39	0.430398545
40	0.4290361415
41	0.4277317091
42	0.4262524118
43	0.4233718259
44	0.421857275
45	0.4202095601
46	0.4190239787
47	0.4177341217
48	0.4163914964
49	0.4149238424
50	0.4137990079
51	0.4127962744
52	0.4114871386
53	0.4108372709
54	0.4101392307
55	0.4091390622
56	0.4079759845
57	0.4073587933
58	0.4068091528
59	0.4063722654
60	0.4056136456
61	0.4047893311
62	0.4032538193
63	0.4025783211
64	0.4011612431
65	0.4002320217
66	0.3991484325
67	0.3991461042
68	0.3983748194
69	0.3963310338
70	0.3955983528
71	0.3950330363
72	0.3935715085
73	0.3932140248
74	0.3923763137
75	0.3905255868
76	0.3897882251
77	0.3888809687
78	0.3882556904
79	0.3876873727
80	0.387239671
81	0.3865996
82	0.3854448501
83	0.3849541206
84	0.3843875019
85	0.3832837142
86	0.3824742994
87	0.3817994463
88	0.3809720265
89	0.3799931909
90	0.3791674521
91	0.3780721035
92	0.3772802115
93	0.3761415116
94	0.3753245321
95	0.3742389819
96	0.3738115491
97	0.3737713526
98	0.3731832301
99	0.3717886842
