iter	Passed	Remaining
0	4	438
1	10	535
2	26	841
3	29	704
4	35	682
5	37	584
6	38	514
7	40	461
8	41	418
9	42	384
10	44	358
11	45	336
12	47	314
13	48	299
14	50	284
15	51	271
16	53	258
17	54	246
18	55	236
19	56	227
20	57	215
21	58	207
22	60	204
23	62	197
24	63	190
25	64	184
26	66	178
27	67	173
28	68	168
29	70	163
30	71	158
31	72	154
32	73	149
33	75	145
34	76	142
35	78	138
36	79	135
37	80	131
38	82	128
39	83	125
40	85	122
41	86	119
42	88	117
43	89	114
44	91	111
45	92	108
46	94	106
47	95	103
48	96	100
49	97	97
50	98	94
51	100	93
52	102	90
53	104	89
54	105	86
55	107	84
56	108	81
57	109	79
58	110	77
59	112	74
60	113	72
61	114	70
62	116	68
63	118	66
64	120	64
65	121	62
66	122	60
67	123	58
68	124	55
69	125	53
70	126	51
71	130	50
72	131	48
73	133	46
74	134	44
75	135	42
76	136	40
77	138	38
78	139	37
79	140	35
80	141	33
81	143	31
82	144	29
83	146	27
84	147	25
85	148	24
86	149	22
87	151	20
88	152	18
89	153	17
90	155	15
91	156	13
92	158	11
93	159	10
94	160	8
95	161	6
96	162	5
97	163	3
98	164	1
99	165	0
