iter	Passed	Remaining
0	3	3931
1	8	4024
2	11	3941
3	16	4049
4	20	4070
5	24	4026
6	27	3958
7	31	3966
8	36	3965
9	39	3940
10	43	3918
11	48	3958
12	51	3939
13	55	3906
14	59	3921
15	63	3879
16	66	3868
17	70	3864
18	75	3874
19	79	3873
20	82	3865
21	87	3871
22	91	3867
23	95	3872
24	102	3981
25	109	4107
26	115	4163
27	120	4188
28	125	4185
29	129	4186
30	133	4185
31	137	4170
32	141	4159
33	145	4142
34	150	4139
35	154	4127
36	158	4116
37	162	4122
38	169	4178
39	173	4170
40	177	4158
41	183	4181
42	187	4171
43	191	4157
44	195	4144
45	199	4146
46	203	4134
47	207	4116
48	212	4119
49	216	4110
50	220	4095
51	224	4086
52	229	4099
53	233	4089
54	239	4107
55	243	4101
56	247	4097
57	251	4088
58	255	4079
59	259	4069
60	263	4060
61	267	4053
62	271	4040
63	275	4033
64	280	4032
65	284	4021
66	287	4008
67	292	4008
68	296	4000
69	300	3988
70	304	3980
71	309	3987
72	313	3975
73	316	3965
74	321	3963
75	325	3959
76	329	3952
77	334	3950
78	338	3942
79	342	3937
80	346	3932
81	350	3925
82	354	3915
83	358	3911
84	362	3903
85	366	3893
86	370	3890
87	375	3887
88	378	3878
89	382	3871
90	387	3873
91	391	3864
92	395	3855
93	400	3857
94	404	3856
95	408	3849
96	413	3846
97	417	3842
98	421	3833
99	425	3831
100	429	3822
101	434	3821
102	437	3813
103	441	3805
104	445	3794
105	449	3791
106	453	3785
107	457	3777
108	460	3766
109	465	3763
110	469	3757
111	472	3748
112	476	3741
113	481	3740
114	484	3731
115	488	3724
116	492	3719
117	497	3716
118	501	3711
119	505	3708
120	509	3703
121	514	3700
122	518	3696
123	522	3692
124	526	3685
125	531	3683
126	535	3678
127	538	3671
128	543	3667
129	547	3662
130	551	3655
131	554	3648
132	558	3642
133	563	3639
134	567	3634
135	571	3628
136	575	3624
137	579	3619
138	583	3613
139	587	3607
140	591	3602
141	595	3596
142	599	3591
143	603	3585
144	607	3580
145	611	3575
146	615	3570
147	619	3564
148	623	3562
149	627	3558
150	632	3553
151	636	3548
152	641	3549
153	645	3544
154	648	3537
155	653	3534
156	657	3530
157	661	3524
158	665	3518
159	669	3512
160	673	3508
161	677	3503
162	681	3498
163	685	3494
164	689	3489
165	693	3484
166	697	3478
167	701	3473
168	705	3468
169	709	3463
170	713	3458
171	717	3455
172	722	3451
173	726	3450
174	730	3444
175	735	3442
176	739	3438
177	743	3432
178	747	3428
179	752	3428
180	756	3423
181	760	3417
182	764	3412
183	768	3407
184	772	3401
185	776	3396
186	780	3393
187	784	3389
188	788	3383
189	792	3377
190	797	3378
191	801	3373
192	805	3367
193	809	3363
194	814	3362
195	818	3356
196	822	3352
197	826	3347
198	830	3342
199	834	3337
200	838	3334
201	842	3328
202	846	3325
203	851	3320
204	854	3314
205	858	3309
206	862	3305
207	866	3300
208	870	3295
209	875	3295
210	880	3290
211	883	3285
212	887	3280
213	892	3278
214	896	3273
215	901	3273
216	909	3280
217	922	3307
218	948	3382
219	956	3389
220	960	3385
221	966	3386
222	971	3384
223	975	3380
224	980	3375
225	984	3372
226	990	3371
227	994	3366
228	998	3363
229	1003	3360
230	1007	3352
231	1011	3347
232	1015	3343
233	1020	3341
234	1025	3337
235	1030	3334
236	1034	3331
237	1039	3328
238	1044	3324
239	1048	3319
240	1053	3318
241	1058	3315
242	1063	3311
243	1068	3310
244	1072	3306
245	1077	3301
246	1082	3298
247	1086	3294
248	1090	3289
249	1094	3284
250	1100	3283
251	1104	3279
252	1108	3274
253	1114	3272
254	1118	3267
255	1123	3266
256	1130	3268
257	1134	3264
258	1139	3259
259	1144	3256
260	1149	3254
261	1153	3249
262	1157	3244
263	1163	3242
264	1167	3237
265	1171	3232
266	1176	3229
267	1180	3224
268	1184	3219
269	1188	3213
270	1193	3210
271	1197	3205
272	1202	3202
273	1208	3202
274	1213	3198
275	1217	3193
276	1221	3188
277	1226	3184
278	1230	3179
279	1234	3174
280	1239	3171
281	1243	3166
282	1247	3160
283	1251	3155
284	1256	3152
285	1260	3147
286	1265	3142
287	1269	3138
288	1275	3137
289	1279	3133
290	1284	3128
291	1289	3125
292	1293	3120
293	1297	3116
294	1303	3114
295	1307	3110
296	1312	3105
297	1316	3100
298	1320	3096
299	1324	3091
300	1328	3086
301	1333	3082
302	1337	3077
303	1341	3071
304	1345	3066
305	1350	3063
306	1354	3058
307	1358	3052
308	1362	3047
309	1367	3043
310	1371	3038
311	1375	3033
312	1380	3029
313	1384	3024
314	1389	3021
315	1393	3016
316	1397	3011
317	1401	3004
318	1406	3002
319	1410	2997
320	1414	2992
321	1419	2988
322	1423	2984
323	1427	2979
324	1432	2974
325	1437	2971
326	1441	2966
327	1445	2961
328	1449	2956
329	1453	2951
330	1457	2946
331	1461	2941
332	1466	2937
333	1470	2932
334	1474	2927
335	1479	2923
336	1483	2919
337	1487	2914
338	1492	2909
339	1496	2905
340	1501	2900
341	1505	2896
342	1509	2891
343	1513	2886
344	1518	2882
345	1522	2877
346	1526	2872
347	1530	2868
348	1535	2863
349	1539	2858
350	1543	2853
351	1547	2849
352	1551	2843
353	1555	2838
354	1559	2833
355	1563	2828
356	1567	2823
357	1571	2818
358	1576	2814
359	1580	2809
360	1584	2804
361	1588	2800
362	1594	2798
363	1599	2794
364	1603	2788
365	1607	2784
366	1611	2780
367	1616	2775
368	1620	2770
369	1624	2766
370	1629	2762
371	1633	2757
372	1637	2752
373	1642	2748
374	1645	2743
375	1649	2738
376	1654	2734
377	1659	2730
378	1663	2725
379	1667	2720
380	1672	2716
381	1676	2712
382	1681	2708
383	1685	2703
384	1689	2699
385	1693	2694
386	1697	2689
387	1702	2685
388	1706	2680
389	1711	2676
390	1715	2671
391	1719	2667
392	1723	2662
393	1727	2657
394	1731	2651
395	1736	2648
396	1740	2643
397	1744	2638
398	1748	2633
399	1752	2628
400	1756	2623
401	1760	2618
402	1764	2614
403	1768	2609
404	1772	2604
405	1776	2598
406	1780	2594
407	1784	2589
408	1789	2585
409	1793	2580
410	1798	2578
411	1803	2573
412	1807	2568
413	1811	2563
414	1815	2559
415	1819	2554
416	1823	2549
417	1828	2545
418	1832	2540
419	1836	2535
420	1840	2530
421	1844	2526
422	1848	2522
423	1852	2517
424	1856	2512
425	1861	2508
426	1865	2503
427	1869	2498
428	1873	2493
429	1877	2489
430	1881	2483
431	1885	2478
432	1889	2474
433	1893	2469
434	1897	2464
435	1901	2460
436	1906	2455
