iter	RMSE
0	1.053916776
1	0.9587843847
2	0.8692293703
3	0.8022193804
4	0.7458787865
5	0.7039671158
6	0.6699184336
7	0.641479759
8	0.6210091995
9	0.5990703712
10	0.5815320677
11	0.567217188
12	0.5539861535
13	0.5438278935
14	0.5337037275
15	0.5244200743
16	0.5173212239
17	0.5090261793
18	0.5016699487
19	0.4941173428
20	0.4896413955
21	0.4824856803
22	0.4777340062
23	0.4713067284
24	0.467629517
25	0.4624292578
26	0.4591178862
27	0.4558783892
28	0.452335728
29	0.4470052572
30	0.4450745671
31	0.4413444348
32	0.4388751898
33	0.4352757859
34	0.4314069656
35	0.4283036866
36	0.4263952174
37	0.4235116783
38	0.4198847442
39	0.4180614235
40	0.4153944149
41	0.4138512405
42	0.4102077216
43	0.4074046088
44	0.4045213645
45	0.4021427171
46	0.4006165097
47	0.3982614101
48	0.3964427843
49	0.3947232088
50	0.3921488528
51	0.3890928529
52	0.386834725
53	0.3844729136
54	0.383100062
55	0.3809416271
56	0.3796515711
57	0.3786543964
58	0.3762383938
59	0.3744440734
60	0.3716781798
61	0.3695175166
62	0.3676891059
63	0.3655214194
64	0.3637659284
65	0.3618055696
66	0.3600852731
67	0.3582741631
68	0.3568374118
69	0.3553821903
70	0.354182221
71	0.3527218238
72	0.3513358557
73	0.3501079304
74	0.3484409605
75	0.3470964045
76	0.3455733984
77	0.3439222773
78	0.3427118057
79	0.3419268872
80	0.3411577551
81	0.3400341391
82	0.338936443
83	0.3379057029
84	0.3367674608
85	0.3355097083
86	0.3344416731
87	0.3336307449
88	0.3328186324
89	0.3314839905
90	0.3298755212
91	0.3290286019
92	0.328052152
93	0.3266021294
94	0.3258370803
95	0.3248365364
96	0.3233485655
97	0.3219975711
98	0.3211411255
99	0.3202425853
100	0.3195305233
101	0.3185319938
102	0.317299879
103	0.3164349092
104	0.3154557702
105	0.3148697615
106	0.3139724301
107	0.3131206183
108	0.311905089
109	0.3109385124
110	0.3101348559
111	0.3089072208
112	0.3079179259
113	0.3069919534
114	0.3062296011
115	0.304949125
116	0.3045770203
117	0.3035934829
118	0.3026228302
119	0.3021987043
120	0.3011051154
121	0.3002114428
122	0.299950088
123	0.2988801071
124	0.2980652085
125	0.2967823679
126	0.295727643
127	0.2949435888
128	0.2942277972
129	0.2941639406
130	0.2931434978
131	0.2923395209
132	0.2916092355
133	0.2906009099
134	0.2898954779
135	0.2892062876
136	0.2884242842
137	0.2876993945
138	0.2869021118
139	0.2860126518
140	0.285194702
141	0.2846359933
142	0.2837352003
143	0.2832233491
144	0.2827413027
145	0.282131005
146	0.2811539565
147	0.2804382361
148	0.2799478289
149	0.2791656803
150	0.2782483405
151	0.2774546696
152	0.2767217282
153	0.2761867912
154	0.2760959163
155	0.2753327146
156	0.2746229151
157	0.2740833115
158	0.2737139922
159	0.2729897706
160	0.2725272996
161	0.2718897792
162	0.2712755916
163	0.2707530658
164	0.2701368575
165	0.2693622066
166	0.2689745292
167	0.2685251651
168	0.2679283016
169	0.2672858226
170	0.2667787737
171	0.2666823255
172	0.2661140226
173	0.2656457815
174	0.2650798568
175	0.2647995987
176	0.2644003119
177	0.2638318921
178	0.2630113827
179	0.2624118625
180	0.2618891192
181	0.2616307775
182	0.2611892986
183	0.2607411778
184	0.2603661819
185	0.2599917918
186	0.2595461874
187	0.2592239481
188	0.2585134221
189	0.2581472531
190	0.2574806265
191	0.2565635683
192	0.2558640931
193	0.2553952314
194	0.2550158825
195	0.2542205768
196	0.2536799899
197	0.2531562262
198	0.2529259189
199	0.2523523627
200	0.2519844591
201	0.2516668155
202	0.2512121577
203	0.2510392957
204	0.2507716485
205	0.2502703798
206	0.2499109994
207	0.2492634257
208	0.2488746101
209	0.2483012354
210	0.2474281728
211	0.2466539882
212	0.2460201922
213	0.2455151604
214	0.2450998771
215	0.2446886767
216	0.2442467285
217	0.2438747671
218	0.243260029
219	0.2427847568
220	0.242473141
221	0.2419753293
222	0.241464978
223	0.2411826192
224	0.2406181962
225	0.240229494
226	0.2395919591
227	0.2392500989
228	0.2388364486
229	0.2384980188
230	0.2380839941
231	0.2373362289
232	0.2371182876
233	0.2369556959
234	0.2365762399
235	0.2361202144
236	0.2358220626
237	0.2354704769
238	0.2352508275
239	0.2346585066
240	0.2342436599
241	0.233831362
242	0.233434844
243	0.2329838024
244	0.2328392159
245	0.2323133236
246	0.2317699784
247	0.2316376745
248	0.2313798187
249	0.2306000692
