iter	Passed	Remaining
0	3	957
1	6	867
2	10	843
3	13	805
4	16	805
5	19	795
6	23	832
7	29	884
8	32	866
9	35	858
10	38	845
11	41	827
12	44	817
13	47	802
14	51	809
15	55	818
16	59	816
17	62	811
18	65	797
19	68	788
20	71	777
21	74	768
22	76	756
23	80	755
24	84	759
25	87	757
26	91	752
27	95	756
28	98	749
29	101	744
30	104	736
31	107	735
32	112	738
33	115	736
34	119	733
35	124	740
36	128	736
37	132	738
38	136	736
39	141	741
40	144	739
41	149	739
42	152	735
43	155	728
44	158	722
45	161	718
46	164	711
47	167	705
48	172	709
49	176	704
50	179	699
51	183	697
52	189	704
53	192	698
54	195	694
55	202	702
56	206	698
57	208	691
58	211	685
59	215	682
60	218	677
61	221	671
62	225	668
63	235	682
64	242	690
65	249	696
66	256	701
67	260	697
68	268	704
69	277	713
70	285	718
71	292	723
72	320	777
73	324	771
74	328	766
75	334	765
76	339	762
77	350	773
78	357	773
79	363	771
80	368	767
81	372	763
82	376	756
83	379	749
84	383	744
85	386	737
86	390	731
87	394	725
88	400	723
89	403	717
90	407	712
91	412	708
92	416	702
93	421	699
94	427	696
95	431	692
96	434	685
97	437	678
98	440	672
99	443	665
100	448	661
101	453	657
102	458	654
103	461	648
104	465	642
105	468	636
106	471	630
107	474	624
108	477	618
109	481	612
110	500	627
111	503	620
112	506	614
113	510	608
114	515	605
115	520	600
116	523	594
117	526	588
118	530	584
119	534	578
120	538	573
121	542	569
122	545	563
123	551	559
124	554	554
125	558	549
126	561	543
127	564	538
128	567	532
129	570	526
130	573	520
131	576	514
132	579	509
133	582	504
134	585	498
135	587	492
136	590	487
137	594	482
138	597	476
139	599	471
140	602	465
141	607	462
142	612	458
143	615	452
144	617	447
145	620	442
146	623	437
147	626	431
148	629	426
149	633	422
150	639	419
151	643	415
152	647	410
153	651	405
154	654	401
155	659	397
156	662	392
157	665	387
158	669	383
159	672	378
160	674	372
161	677	368
162	681	363
163	686	359
164	689	355
165	692	350
166	698	347
167	702	342
168	705	338
169	709	333
170	712	329
171	716	324
172	719	320
173	722	315
174	725	310
175	727	306
176	731	301
177	734	297
178	737	292
179	739	287
180	742	282
181	744	278
182	747	273
183	750	269
184	755	265
185	758	260
186	762	256
187	764	252
188	767	247
189	771	243
190	774	239
191	778	235
192	781	230
193	784	226
194	787	222
195	792	218
196	797	214
197	800	210
198	803	205
199	806	201
200	809	197
201	812	193
202	815	188
203	818	184
204	822	180
205	825	176
206	828	172
207	831	167
208	834	163
209	837	159
210	839	155
211	843	151
212	846	147
213	849	142
214	852	138
215	855	134
216	858	130
217	864	126
218	867	122
219	870	118
220	872	114
221	876	110
222	880	106
223	883	102
224	886	98
225	889	94
226	892	90
227	896	86
228	899	82
229	902	78
230	905	74
231	908	70
232	911	66
233	917	62
234	919	58
235	922	54
236	925	50
237	928	46
238	930	42
239	933	38
240	936	34
241	938	31
242	942	27
243	945	23
244	947	19
245	950	15
246	953	11
247	955	7
248	958	3
249	961	0
